Timestamp,Year,Crop Name,Region_Division,District,Area_Hectare,Yield_per_Hectare_M_Ton,Production _M_Ton  
8/8/2022 20:43:20,2016-2017,Potato,Khulna,Jessore,3141,23.346,73332
8/8/2022 20:44:03,2016-2017,Potato,Khulna,Jhenaidah,1684,20.722,34901
8/8/2022 20:44:45,2016-2017,Potato,Khulna,Khulna,633,14.314,9054
8/8/2022 20:45:26,2016-2017,Potato,Khulna,Kustia,2227,21.817,48593
8/8/2022 20:46:04,2016-2017,Potato,Khulna,Magura,34,15.043,517
8/8/2022 20:46:41,2016-2017,Potato,Khulna,Meherpur,1408,23.21,32.687
8/8/2022 20:47:28,2016-2017,Potato,Khulna,Narail,25,13.356,341
8/8/2022 20:48:19,2016-2017,Potato,Khulna,Satkhira,3334,17.281,57611
8/8/2022 20:49:35,2016-2017,Potato,Mymensingh,Jamalpur,5053,17.594,88908
8/8/2022 20:50:28,2016-2017,Potato,Mymensingh,Mymensingh,4065,10.054,40865
8/8/2022 20:51:23,2016-2017,Potato,Mymensingh,Netrokona,1764,8.376,14775
8/8/2022 20:52:14,2016-2017,Potato,Mymensingh,Sherpur,5344,18.266,97609
8/8/2022 20:53:19,2016-2017,Potato,Rajshahi,Bogra,64610,18.871,1219265
8/8/2022 20:54:28,2016-2017,Potato,Rajshahi,Joypurhat,35079,19.321,677761
8/8/2022 20:55:17,2016-2017,Potato,Rajshahi,Naogaon,25818,16.663,430207
8/8/2022 20:57:12,2016-2017,Potato,Rajshahi,Nawabgonj,1532,18.756,28736
8/8/2022 20:57:50,2016-2017,Potato,Rajshahi,Pabna,932,12.6,11743
8/8/2022 20:58:50,2016-2017,Potato,Rajshahi,Rajshahi,42699,24.958,1065688
8/8/2022 20:59:43,2016-2017,Potato,Rajshahi,Sirajgonj,3161,13.167,41614
8/8/2022 21:00:53,2016-2017,Potato,Rangpur,Dinajpur,48861,19.936,974066
8/8/2022 21:01:33,2016-2017,Potato,Rangpur,Gaibandha,8878,15.834,140572
8/8/2022 21:02:18,2016-2017,Potato,Rangpur,Kurigram,7060,20.076,141745
8/8/2022 21:03:18,2016-2017,Potato,Rangpur,Lalmonirhat,5293,18.324,96992
8/8/2022 21:04:09,2016-2017,Potato,Rangpur,Nilphamari,23704,19.288,457207
8/8/2022 21:04:57,2016-2017,Potato,Rangpur,Panchagar,10323,19.819,204601
8/8/2022 21:05:44,2016-2017,Potato,Rangpur,Rangpur,54874,20.651,1133178
8/8/2022 21:06:43,2016-2017,Potato,Rangpur,Thakurgaon,23321,18.373,428479
8/8/2022 21:07:37,2016-2017,Potato,Sylhet,Hobigonj,1959,11.096,21739
8/8/2022 21:08:28,2016-2017,Potato,Sylhet,Maulavibazar,2037,11.502,23426
8/8/2022 21:09:19,2016-2017,Potato,Sylhet,Sunamgonj,1556,11.401,17745
8/8/2022 21:10:09,2016-2017,Potato,Sylhet,Sylhet,1316,10.307,13564
8/8/2022 21:29:55,2017-2018,Potato,Barisal,Barguna,274,18.402,5041
8/8/2022 21:30:43,2017-2018,Potato,Barisal,Barisal,1540,19.832,30539
8/8/2022 21:31:26,2017-2018,Potato,Barisal,Bhola,7330,26.654,195369
8/8/2022 21:32:45,2017-2018,Potao,Barisal,Jhalakathi,426,19.832,8443
8/8/2022 21:33:45,2017-2018,Potato,Barisal,Patuakhali,467,18.439,8603
8/8/2022 21:34:37,2017-2018,Potato,Barisal,Pirojpur,1066,13.396,14279
8/8/2022 21:36:12,2017-2018,Potato,Chittagong,Bandarban,549,9.737,5347
8/8/2022 21:38:33,2017-2018,Potato,Chittagong,Brahmanbaria,2000,13.053,26106
8/8/2022 21:39:52,2017-2018,Potato,Chittagong,Chandpur,10260,17.187,176333
8/8/2022 21:40:32,2017-2018,Potato,Chittagong,Chittagong,4805,14.401,69192
8/8/2022 21:41:15,2017-2018,Potato,Chittagong,Comilla,11634,18.407,214160
8/8/2022 21:41:53,2017-2018,Potato,Chittagong,Cox's Bazar,2000,12.768,25536
8/8/2022 21:42:51,2017-2018,Potato,Chittagong,Feni,257,13.422,3444
8/8/2022 21:43:43,2017-2018,Potato,Chittagong,Khagrachari,565,10.53,5953
8/8/2022 21:44:45,2017-2018,Potato,Chittagong,Laksmipur,263,13.39,3522
8/8/2022 21:45:26,2017-2018,Potato,Chittagong,Noakhali,82,13.49,1103
8/8/2022 21:46:15,2017-2018,Potato,Chittagong,Rangamati,88,11.138,983
8/8/2022 21:46:57,2017-2018,Potato,Dhaka,Dhaka,1906,21.5,40980
8/8/2022 21:47:36,2017-2018,Potato,Dhaka,Faridpur,298,23.198,6909
8/8/2022 21:48:12,2017-2018,Potato,Dhaka,Gazipur,138,13.009,1790
8/8/2022 21:49:06,2017-2018,Potato,Dhaka,Gopalgonj,304,22.308,6780
8/8/2022 21:50:06,2017-2018,Potato,Dhaka,Kishoregonj,5445,13.13,71488
8/8/2022 21:50:49,2017-2018,Potato,Dhaka,Madaripur,512,19.395,9929
8/8/2022 21:51:42,2017-2018,Potato,Dhaka,Manikgonj,1533,20.122,30846
8/8/2022 21:52:37,2017-2018,Potato,Dhaka,Munsigonj,36319,32.613,1184479
8/8/2022 21:53:39,2017-2018,Potato,Dhaka,Narayangonj,3011,28.186,84862
8/8/2022 21:54:19,2017-2018,Potato,Dhaka,Narsingdi,1344,14.923,20062
8/8/2022 21:55:17,2017-2018,Potato,Dhaka,Rajbari,170,18.331,3123
8/8/2022 21:56:11,2017-2018,Potato,Dhaka,Shariatpur,1999,24.847,49672
8/8/2022 21:56:46,2017-2018,Potato,Dhaka,Tangail,3040,13.138,39943
8/8/2022 21:58:20,2017-2018,Potato,Khulna,Bagerhat,989,15.228,15067
8/8/2022 21:59:00,2017-2018,Potato,Khulna,Chuadanga,1438,21.721,31230
8/8/2022 21:59:42,2017-2018,Potato,Khulna,Jessore,3521,23.747,83615
8/8/2022 22:00:25,2017-2018,Potato,Khulna,Jhenaidah,1578,20.74,32725
8/8/2022 22:01:09,2017-2018,Potato,Khulna,Khulna,473,15.283,7230
8/8/2022 22:02:18,2017-2018,Potato,Khulna,Kushtia,2431,21.781,52946
8/8/2022 22:03:02,2017-2018,Potato,Khulna,Magura,29,15.509,452
8/8/2022 22:03:51,2017-2018,Potato,Khulna,Meherpur,1296,22.787,29536
8/8/2022 22:04:32,2017-2018,Potato,Khulna,Narail,32,14.609,467
8/8/2022 22:05:36,2017-2018,Potato,Khulna,Satkhira,3050,17.17,52370
8/8/2022 22:06:37,2017-2018,Potato,Mymensingh,Jamalpur,4912,18.163,89217
8/8/2022 22:07:26,2017-2018,Potato,Mymensingh,Mymensingh,3944,9.99,39402
8/8/2022 22:08:07,2017-2018,Potato,Mymensingh,Netrokona,1869,9.559,17865
8/8/2022 22:09:27,2017-2018,Potato,Mymensingh,Sherpur,4489,17.092,76728
8/8/2022 22:10:29,2017-2018,Potato,Rajshahi,Bogra,59622,19.035,1134920
8/8/2022 22:11:42,2017-2018,Potato,Rajshahi,Joypurhat,38268,19.563,748632
8/8/2022 22:12:26,2017-2018,Potato,Rajshahi,Naogaon,22539,16.569,373450
8/8/2022 22:13:09,2017-2018,Potato,Rajshahi,Natore,59,16.31,964
8/8/2022 22:13:56,2017-2018,Potato,Rajshahi,Nawabgonj,1475,18.669,27546
8/8/2022 22:14:33,2017-2018,Potato,Rajshahi,Pabna,849,22.768,10841
8/8/2022 22:15:17,2017-2018,Potato,Rajshahi,Rajshahi,39950,25.579,1021886
8/8/2022 22:16:08,2017-2018,Potato,Rajshahi,Sirajgonj,2824,14.072,39738
8/8/2022 22:17:12,2017-2018,Potato,Rangpur,Dinajpur,49146,19.932,979600
8/8/2022 22:17:57,2017-2018,Potato,Rangpur,Gaibandha,6876,16.597,114125
8/8/2022 22:18:40,2017-2018,Potato,Rangpur,Kurigram,6594,20.984,138370
8/8/2022 22:19:21,2017-2018,Potato,Rangpur,Lalmonirhat,4730,19.278,91184
8/8/2022 22:20:11,2017-2018,Potato,Rangpur,Nilphamari,22834,18.988,433573
8/8/2022 22:21:04,2017-2018,Potato,Rangpur,Panchagar,10116,19.809,200389
8/8/2022 22:21:44,2017-2018,Potato,Rangpur,Rangpur,51167,20.125,1029722
8/8/2022 22:22:28,2017-2018,Potato,Rangpur,Thakurgaon,23809,18.729,445918
8/8/2022 22:23:22,2017-2018,Potato,Rangpur,Hobigonj,1881,11.926,22437
8/8/2022 22:24:29,2017-2018,Potato,Sylhet,Hobigonj,1881,11.926,22437
8/8/2022 22:25:11,2017-2018,Potato,Sylhet,Maulavibazar,2004,11.89,23831
8/8/2022 22:26:00,2017-2018,Potato,Sylhet,Sunamgonj,1663,11.489,19109
8/8/2022 22:26:54,2017-2018,Potato,Sylhet,Sylhet,1316,11.028,14514
8/8/2022 22:59:31,2018-2019,Potato,Barisal,Barguna,781,22.052,17223
8/8/2022 23:00:36,2018-2019,Potato,Barisal,Barisal,1158,19.988,23150
8/8/2022 23:01:57,2018-2019,Potato,Barisal,Bhola,5248,18.534,97266
8/8/2022 23:02:43,2018-2019,Potato,Barisal,Jhalakathi,338,18.638,6298
8/8/2022 23:03:24,2018-2019,Potato,Barisal,Patuakhali,572,20.534,11750
8/8/2022 23:04:11,2018-2019,Potato,Barisal,Pirojpur,927,19.333,17917
8/8/2022 23:05:22,2018-2019,Potato,Chittagong,Bandarban,564,10.24,5772
8/8/2022 23:06:30,2018-2019,Potato,Chittagong,Brahmanbaria,1360,12.718,17303
8/8/2022 23:07:26,2018-2019,Potato,Chittagong,Chandpur,6173,18.998,117275
8/8/2022 23:08:17,2018-2019,Potato,Chittagong,Chittagong,3941,12.803,50463
8/8/2022 23:09:10,2018-2019,Potato,Chittagong,Comilla,10853,20.109,218252
8/8/2022 23:10:25,2018-2019,Potato,Chittagong,Cox's Bazar,1716,11.097,19038
8/8/2022 23:11:09,2018-2019,Potato,Chittagong,Feni,282,15.166,4280
8/8/2022 23:11:54,2018-2019,Potato,Chittagong,Khagrachari,553,10.679,5905
8/8/2022 23:12:32,2018-2019,Potato,Chittagong,Lakshmipur,283,15.155,4293
8/8/2022 23:13:16,2018-2019,Potato,Chittagong,Noakhali,181,16.763,3034
8/8/2022 23:14:10,2018-2019,Potato,Chittagong,Rangamati,70,14.51,1016
8/8/2022 23:14:53,2018-2019,Potato,Dhaka,Dhaka,1907,24.34,46423
8/8/2022 23:15:32,2018-2019,Potato,Dhaka,Faridpur,269,23.649,6364
8/8/2022 23:16:01,2018-2019,Potato,Dhaka,Gazipur,145,14.26,2062
8/8/2022 23:17:02,2018-2019,Potato,Dhaka,Gopalgonj,343,23.727,8128
8/8/2022 23:17:50,2018-2019,Potato,Dhaka,Kishoregonj,5373,14.068,75591
