Timestamp,Year,Crop Name,Region_Division,District,Area_Hectare,Yield_per_Hectare_M_Ton,Production _M_Ton 
8/13/2022 1:40:57,2018-2019,Amon,Rangpur,Rangpur,165563,2.959,489855
8/13/2022 1:42:18,2018-2019,Amon,Rangpur,Thakurgaon,134405,2.866,385230
8/13/2022 1:45:42,2018-2019,Amon,sylhet,Hobiganj,102618,2.499,256459
8/13/2022 1:47:39,2020-2021,Amon,Dhaka,Dhaka,5113,2.48,12682
8/13/2022 1:47:39,2018-2019,Amon,sylhet,Moulvibazar,105107,2.868,301451
8/13/2022 1:48:31,2020-2021,Amon,Dhaka,Faridpur ,62122,2.906,180499
8/13/2022 1:49:22,2018-2019,Amon,sylhet,Sunamganj,74562,2.577,192140
8/13/2022 1:50:04,2020-2021,Amon,Dhaka,Gazipur ,38657,3.234,125015
8/13/2022 1:50:38,2018-2019,Amon,sylhet,sylhet,144224,2.455,354070
8/13/2022 1:50:53,2020-2021,Amon,Dhaka,Gopalgonj ,11900,2.65,31536
8/13/2022 1:51:54,2020-2021,Amon,Dhaka,Kishorganj ,72146,2.938,211953
8/13/2022 1:52:52,2020-2021,Amon,Dhaka,Madaripur ,6900,3.08,21249
8/13/2022 1:53:30,2020-2021,Amon,Dhaka,Manikganj ,4934,2.995,14777
8/13/2022 1:54:15,2020-2021,Amon,Dhaka,Munshiganj ,446,2.366,1056
8/13/2022 7:18:07,2020-2021,Amon,Dhaka ,Narayanganj ,2110,2.472,5216
8/13/2022 19:55:39,2020-2021,Amon,Dhaka,Narsingdi ,32450,2.825,91681
8/13/2022 19:57:11,2020-2021,Amon,Dhaka,Rajbari ,44430,2.343,104095
8/13/2022 19:58:03,2020-2021,Amon,Dhaka,Shariatpur ,1764,2.989,5272
8/13/2022 19:59:02,2020-2021,Amon,Dhaka,Tangail,61320,2.635,161596
8/13/2022 20:03:26,2020-2021,Amon,Khulna,Bagerhat ,35481,2.699,95746
8/13/2022 20:04:41,2020-2021,Amon,Khulna,Chuadanga ,34688,2.71,94005
8/13/2022 20:05:28,2020-2021,Amon,Khulna,Jessore ,135458,2.85,386094
8/13/2022 20:06:33,2020-2021,Amon,Khulna,Jhinadah ,102355,3.384,346395
8/13/2022 20:07:52,2020-2021,Amon,Khulna,Khulna,70257,3.073,215888
8/13/2022 20:09:22,2020-2021,Amon,Khulna ,Kushtia,90093,2.987,269082
8/13/2022 20:10:54,2020-2021,Amon,Khulna,Magura ,57279,2.637,151030
8/13/2022 20:12:31,2020-2021,Amon,Khulna,Meherpur,33396,3.161,105565
8/13/2022 20:13:24,2020-2021,Amon,Khulna,Narail,25852,3.144,81265
8/13/2022 20:14:05,2020-2021,Amon,Khulna,Shatkhira,81758,2.772,226618
8/13/2022 20:15:09,2020-2021,Amon,Mymensingh ,Jamalpur ,88782,2.528,224435
8/13/2022 20:15:58,2020-2021,Amon,Mymensingh ,Mymensingh ,208081,2.537,578657
8/13/2022 20:16:48,2020-2021,Amon,Mymensingh ,Netrokona ,101092,2.927,295922
8/13/2022 20:17:44,2020-2021,Amon,Mymensingh ,Sherpur ,55758,2.628,146548
8/14/2022 14:23:28,2020-2021,Amon,Rajshahi ,Bogura,179275,2.947,528275
8/14/2022 14:25:00,2020-2021,Amon,Rajshahi ,Joypurhat,69089,2.812,194274
8/14/2022 14:25:42,2020-2021,Amon,Rajshahi ,Noagaon ,190458,2.66,506606
8/14/2022 14:26:18,2020-2021,Amon,Rajshahi ,Natore,74244,2.755,204517
8/14/2022 14:27:03,2020-2021,Amon,Rajshahi ,Chapainawabganj ,56924,2.786,158565
8/14/2022 14:27:45,2020-2021,Amon,Rajshahi ,Pabna,89810,2.142,192384
8/14/2022 14:28:22,2020-2021,Amon,Rajshahi ,Rajshahi ,73876,3.148,232548
8/14/2022 14:29:08,2020-2021,Amon,Rajshahi ,Sirajganj ,81003,2.729,221083
8/14/2022 14:29:50,2020-2021,Amon,Rangpur ,Dinajpur,261208,2.666,696412
8/14/2022 14:30:30,2020-2021,Amon,Rangpur ,Gaibandha ,118972,2.784,331227
8/14/2022 14:31:13,2020-2021,Amon,Rangpur ,Kurigram ,114730,2.723,312446
8/14/2022 14:31:55,2020-2021,Amon ,Rangpur ,Lalmonirhat ,76869,2.82,216764
8/14/2022 14:32:35,2020-2021,Amon,Rangpur ,Nilphamari ,112642,2.739,308476
8/14/2022 14:33:21,2020-2021,Amon,Rangpur ,Panchagarh ,99616,3.08,306853
8/14/2022 14:34:08,2020-2021,Amon,Rangpur ,Rangpur ,163917,2.699,442446
8/14/2022 14:34:42,2020-2021,Amon,Rangpur,Thakurgaon,130645,2.678,349856
8/14/2022 14:35:35,2020-2021,Amon,Sylhet ,Habiganj ,99344,2.631,261337
8/14/2022 14:36:12,2020-2021,Amon,Sylhet ,Moulvibazar ,101607,2.917,266432
8/14/2022 14:37:12,2020-2021,Amon,Sylhet ,Sunamganj ,96885,2.142,207494
8/14/2022 14:37:49,2020-2021,Amon,Sylhet ,Sylhet ,136028,2.619,356207
